profanity	obfuscation	pos	definition	language
ass	a*s	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=EN	EN
ass	a*s	ADV	https://babelnet.org/synset?id=bn:27111230r&lang=EN	EN
assfucked	assf*cked	NOUN	https://babelnet.org/synset?id=bn%3A00003771n&lang=EN	EN
asshole	a*shole	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=EN	EN
bitch	b*tch	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=EN	EN
bitch	b*tch	VERB	https://babelnet.org/synset?id=bn:00083316v&lang=EN	EN
blowjob	bl*wjob	NOUN	https://babelnet.org/synset?id=bn:00011463n&lang=EN	EN
camel fucker	camel f*cker	NOUN	https://babelnet.org/synset?id=bn:27121015n&lang=EN	EN
cock	c*ck	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=EN	EN
coon	c*on	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=EN	EN
cripple	cr*pple	NOUN	https://babelnet.org/synset?id=bn:00023843n&lang=EN	EN
cripple	cr*pple	VERB	https://babelnet.org/synset?id=bn:00086040v&lang=EN	EN
cum	c*m	NOUN	https://babelnet.org/synset?id=bn:00020895n&lang=EN	EN
cum	c*m	VERB	https://babelnet.org/synset?id=bn:13788492v&lang=EN	EN
cunt	c*nt	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=EN	EN
dick	d*ck	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=EN	EN
fag	f*g	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=EN	EN
faggot	f*ggot	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=EN	EN
feminazi	femin*zi	NOUN	https://babelnet.org/synset?id=bn:01895293n&lang=EN	EN
fudgepacker	f*dgepacker	NOUN	https://www.urbandictionary.com/define.php?term=fudge%20packer	EN
fuck	f*ck	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=EN	EN
fuck	f*ck	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=EN	EN
fuck	f*ck	ADV	https://babelnet.org/synset?id=bn:13743622r&lang=EN	EN
